store_ratio,basket_ratio,category_1,store_score,category_2,store_presence,score_1,score_2,score_3,score_4,time,popularity
0.884,0.346,8,-8.228,0,0.0151,7.04e-06,0.0871,0.376,75.016,220307,4
0.551,0.483,4,-10.627,1,0.284,0.8079999999999999,0.0876,0.0754,171.963,311489,4
0.6459999999999999,0.8290000000000001,1,-3.468,1,0.1689999999999999,0.0,0.0694,0.934,151.082,142373,4
0.605,0.247,7,-11.775,0,0.6759999999999999,2.28e-05,0.0821,0.071,115.667,283459,3
0.387,0.00793,7,-29.192,1,0.992,0.944,0.104,0.425,105.834,233250,4
0.351,0.296,4,-10.109,0,0.934,0.0,0.095,0.12,115.284,200186,4
0.629,0.1159999999999999,0,-19.305,1,0.944,0.901,0.0944,0.0749,62.227,124990,4
0.359,0.208,7,-15.853,1,0.919,0.4579999999999999,0.0931,0.0734,80.678,153147,4
0.45,0.8140000000000001,7,-6.431,1,0.831,0.332,0.069,0.8079999999999999,126.962,237252,4
0.794,0.728,3,-7.395,1,0.565,0.412,0.0879,0.3329999999999999,99.057,126667,4
0.677,0.6729999999999999,9,-5.401,0,0.385,0.0,0.1009999999999999,0.441,100.042,241200,4
0.752,0.8009999999999999,6,-4.812,1,0.0613,0.0,0.0601,0.926,124.975,239111,4
0.528,0.856,7,-4.605,1,0.052,0.0,0.0988,0.5720000000000001,87.01899999999999,219213,4
0.477,0.682,1,-4.931,0,0.153,0.0,0.0763,0.345,110.567,202205,5
0.358,0.0299,2,-29.549,1,0.992,0.933,0.0899,0.141,69.646,167797,4
0.7090000000000001,0.8109999999999999,7,-6.603,1,0.093,1.0800000000000002e-05,0.1,0.735,132.72799999999998,205093,4
0.374,0.868,11,-5.699,0,0.000198,0.0,0.0695,0.371,153.037,200493,4
0.688,0.955,1,-2.46,1,0.0485,0.0,0.102,0.723,132.975,215000,4
0.56,0.875,10,-4.4830000000000005,1,0.0131,0.0006929999999999,0.063,0.5379999999999999,141.661,297067,4
0.7709999999999999,0.928,5,-6.525,1,0.362,0.789,0.103,0.7020000000000001,120.993,184635,4
0.7509999999999999,0.614,10,-9.73,1,0.579,0.0847,0.0951,0.762,81.94,316536,4
0.41,0.0292,8,-28.891,0,0.988,0.916,0.0952,0.131,56.194,118500,4
0.492,0.225,0,-10.598,0,0.792,0.00764,0.0915,0.23,77.411,217067,4
0.652,0.75,1,-6.068,1,0.0684,0.0009029999999999,0.0987,0.21,128.0,237387,4
0.8290000000000001,0.51,5,-9.334,0,0.00821,0.0014,0.0829,0.45,119.993,208133,4
0.6579999999999999,0.7040000000000001,10,-5.832999999999999,0,0.0359,0.0,0.0815,0.526,144.003,235520,4
0.514,0.679,6,-6.117000000000001,1,0.0255,0.0,0.0594,0.496,164.109,210233,4
0.514,0.73,1,-5.934,1,0.00146,9.54e-05,0.0897,0.3339999999999999,171.005,200040,4
0.547,0.257,0,-12.358,1,0.907,0.183,0.0935,0.1689999999999999,75.752,187867,4
0.593,0.6809999999999999,4,-7.517,1,0.442,0.0,0.0942,0.317,81.316,185088,4
0.71,0.574,1,-8.557,1,0.00622,0.0,0.0825,0.595,134.887,188480,4
0.946,0.772,4,-7.537000000000001,0,0.0512,2.26e-06,0.0612,0.743,116.972,263914,4
0.6629999999999999,0.861,7,-3.398,0,0.0338,0.0,0.0819999999999999,0.654,119.963,220800,4
0.6509999999999999,0.48,8,-6.606,1,0.77,2.12e-05,0.098,0.418,99.979,336600,1
0.422,0.12,0,-20.321,0,0.933,0.85,0.0944,0.3389999999999999,121.555,183133,4
0.292,0.7140000000000001,2,-4.919,1,0.000658,0.000109,0.102,0.462,151.412,266280,3
0.773,0.541,10,-8.019,0,0.0566,0.000471,0.0932,0.387,89.946,206437,4
0.395,0.307,2,-13.508,1,0.938,9.87e-05,0.103,0.341,100.011,182467,3
0.355,0.0117,8,-32.75,0,0.995,0.8909999999999999,0.0999,0.161,124.238,206250,3
0.604,0.972,9,-5.626,1,0.000299,0.000983,0.0969999999999999,0.354,128.05100000000002,180907,4
0.503,0.721,9,-4.203,1,0.00782,0.0,0.104,0.243,113.947,226793,3
0.3939999999999999,0.0842,9,-24.761,1,0.981,0.927,0.0901,0.412,132.18,188500,1
0.794,0.613,3,-8.711,1,0.3289999999999999,2.67e-06,0.0764,0.823,110.738,243893,4
0.482,0.682,9,-4.717,0,0.186,0.0,0.0779,0.3379999999999999,171.892,283256,4
0.642,0.27,10,-14.011,0,0.583,0.825,0.1009999999999999,0.672,82.995,88215,4
0.764,0.575,7,-9.989,1,0.341,0.000279,0.0824,0.675,110.002,290427,4
0.703,0.8190000000000001,11,-6.579,1,0.0203,0.782,0.0712,0.4679999999999999,100.997,234383,4
0.63,0.342,7,-13.377,1,0.8170000000000001,0.00432,0.0965,0.552,77.515,209583,4
0.461,0.296,7,-11.496,1,0.256,1.8100000000000003e-05,0.0871,0.303,137.252,222293,4
0.542,0.387,7,-9.294,1,0.222,0.00283,0.102,0.326,128.792,235067,4
0.5770000000000001,0.2739999999999999,2,-15.626,1,0.413,7.12e-06,0.0992,0.417,148.095,197893,4
0.9,0.4,0,-8.443,1,0.0501,0.0,0.0876,0.3379999999999999,136.001,197487,4
0.41,0.326,2,-8.872,1,0.957,0.585,0.0794,0.0861,123.349,143920,4
0.5770000000000001,0.123,7,-18.179,0,0.977,0.924,0.0594,0.366,85.95200000000001,210364,4
0.7559999999999999,0.903,11,-2.088,0,0.2319999999999999,0.0,0.0548,0.7290000000000001,99.995,193882,4
0.627,0.885,8,-5.211,1,0.000976,6.35e-06,0.0886,0.54,94.987,189474,4
0.598,0.447,8,-7.932,1,0.2239999999999999,0.0,0.0704,0.365,123.855,194707,4
0.575,0.33,7,-6.557,1,0.416,0.0,0.0872,0.2769999999999999,95.801,217213,4
0.5539999999999999,0.0207,2,-32.681999999999995,0,0.991,0.898,0.0685,0.179,106.158,216640,4
0.456,0.648,11,-12.032,0,0.0215,0.8290000000000001,0.0994,0.0327,129.936,301154,4
0.674,0.815,7,-7.718,1,0.00213,0.000299,0.0781,0.5589999999999999,110.937,202493,4
0.51,0.149,6,-19.302,1,0.947,0.955,0.1,0.0707,76.695,168987,5
0.589,0.547,7,-10.599,1,0.721,0.119,0.0852,0.599,176.90400000000002,253347,4
0.208,0.00877,2,-33.476,1,0.993,0.85,0.0949,0.0396,120.945,159750,4
0.8029999999999999,0.585,8,-5.861000000000001,1,0.103,3.94e-06,0.0644,0.593,105.017,214480,4
0.7759999999999999,0.5820000000000001,2,-8.726,1,0.331,0.427,0.0926,0.585,92.032,256281,4
0.5329999999999999,0.362,4,-14.791,1,0.478,0.245,0.0857,0.45,82.993,235224,4
0.322,0.0998,4,-20.234,0,0.725,0.893,0.0849,0.039,102.019,229824,4
0.609,0.102,2,-26.633000000000003,1,0.996,0.973,0.0993,0.62,108.062,87000,3
0.67,0.8009999999999999,1,-6.202999999999999,0,0.221,0.0,0.073,0.7340000000000001,81.042,198784,4
0.72,0.5770000000000001,0,-8.015,1,0.875,0.00507,0.0986,0.303,103.031,180212,4
0.68,0.626,9,-6.8660000000000005,1,0.871,0.0106,0.0738,0.8170000000000001,155.892,317001,1
0.509,0.158,11,-16.141,0,0.606,0.0,0.1009999999999999,0.327,67.604,283112,4
0.47,0.614,9,-6.549,1,0.102,3.08e-05,0.0572,0.276,139.884,280018,4
0.622,0.823,4,-7.545,0,0.216,0.0,0.0966,0.862,166.019,235213,4
0.762,0.472,3,-9.271,1,0.725,0.00214,0.0737,0.3379999999999999,96.201,204333,4
0.622,0.347,9,-15.89,0,0.967,0.939,0.103,0.0803,159.933,126000,4
0.537,0.487,4,-7.527,0,0.642,1.36e-05,0.0856,0.134,93.969,234863,4
0.481,0.522,8,-7.737999999999999,1,0.753,0.00494,0.1009999999999999,0.392,105.7,166133,4
0.214,0.0398,8,-28.219,1,0.979,0.95,0.0829,0.0386,62.662,178000,3
0.812,0.7090000000000001,5,-7.857,1,0.195,0.0,0.0993,0.908,91.928,234693,4
0.7120000000000001,0.325,11,-10.568,0,0.497,0.00413,0.0645,0.1639999999999999,120.039,228076,4
0.2,0.158,11,-21.385,0,0.8170000000000001,0.982,0.1009999999999999,0.0636,83.02600000000001,129433,1
0.503,0.963,6,-4.938,1,0.000121,0.0,0.0916,0.636,104.984,196040,4
0.866,0.389,10,-9.032,1,0.336,0.0,0.087,0.524,111.011,190270,4
0.726,0.6459999999999999,7,-5.945,0,0.0141,0.0,0.0981,0.677,150.101,160000,4
0.275,0.0419,7,-28.252,1,0.987,0.000705,0.0736,0.0673,97.655,178133,5
0.439,0.238,0,-9.711,1,0.961,0.00186,0.0851,0.348,122.308,241827,4
0.85,0.748,11,-3.687,1,0.1939999999999999,0.0,0.0764,0.961,130.07299999999998,250125,4
0.614,0.53,9,-8.129,1,0.0986,1.9e-06,0.09,0.58,108.051,179307,4
0.497,0.312,11,-9.088,0,0.302,0.0,0.0968,0.177,105.036,203373,4
0.342,0.0604,5,-25.903,1,0.995,0.931,0.1009999999999999,0.233,111.914,140500,3
0.6679999999999999,0.921,7,-3.727,1,0.0492,0.00517,0.0877,0.782,120.0,212440,4
0.614,0.568,7,-5.477,0,0.00797,0.0,0.0997,0.516,107.849,293960,4
0.757,0.937,1,-3.122,0,0.0978,0.0,0.0894,0.732,100.001,168920,4
0.499,0.0321,0,-27.78,0,0.994,0.941,0.0851,0.266,95.921,175500,4
0.635,0.926,0,-5.589,1,0.0893,4.53e-06,0.0928,0.7609999999999999,100.048,189840,4
0.627,0.703,0,-4.884,1,0.563,0.0,0.0962,0.64,81.89699999999999,217307,4
0.731,0.487,8,-7.63,0,0.629,0.0,0.089,0.45,94.999,197521,4
0.759,0.357,7,-12.313,1,0.748,0.0,0.0796,0.89,120.958,87453,4
0.636,0.522,0,-7.345,0,0.7020000000000001,0.0,0.0976,0.5660000000000001,108.743,241947,4
0.33,0.00527,0,-34.408,1,0.99,0.855,0.0899,0.0395,69.22399999999999,163684,3
0.799,0.856,5,-8.675,0,0.492,0.0163,0.0795,0.939,106.001,246435,4
0.162,0.172,2,-22.401,1,0.934,0.845,0.1,0.115,89.49,163909,3
0.545,0.716,2,-7.68,1,0.0801,8.640000000000001e-05,0.077,0.442,151.531,251160,4
0.615,0.7020000000000001,7,-9.686,1,0.00746,0.00431,0.0608,0.7340000000000001,96.99,234333,4
0.527,0.599,10,-4.486000000000001,0,0.72,0.0,0.104,0.755,84.804,233404,4
0.5920000000000001,0.7290000000000001,8,-4.156000000000001,1,0.022,0.0,0.0653,0.7090000000000001,116.03,236267,4
0.74,0.923,1,-5.082,1,0.105,0.0001629999999999,0.0825,0.93,128.871,305867,4
0.516,0.593,9,-9.889,0,0.738,0.000394,0.103,0.395,139.983,199679,4
0.452,0.98,11,-4.209,0,0.0129,0.931,0.0906,0.0434,103.621,158855,3
0.725,0.675,8,-6.225,0,0.1159999999999999,4.39e-05,0.099,0.6409999999999999,92.017,194552,4
0.527,0.429,8,-12.431,1,0.655,0.0,0.0865,0.2769999999999999,97.893,332333,4
0.551,0.27,3,-12.808,1,0.851,7.04e-06,0.0966,0.289,128.221,244227,4
0.594,0.7709999999999999,5,-10.671,0,0.313,0.00474,0.0694,0.953,104.389,200867,4
0.6759999999999999,0.488,1,-5.091,1,0.0613,0.0,0.0707,0.151,97.036,212693,4
0.619,0.8809999999999999,5,-4.087,0,0.00826,0.0941,0.0995,0.534,128.036,174375,4
0.626,0.746,7,-8.832,1,0.16,0.0,0.0618,0.8,102.896,310893,4
0.531,0.8590000000000001,0,-4.364,0,0.0535,0.0,0.0606,0.503,159.94899999999998,226160,4
0.597,0.0756,11,-26.03,1,0.996,0.973,0.1009999999999999,0.856,142.17700000000002,115070,4
0.46,0.373,9,-11.729,0,0.866,0.000243,0.0876,0.5670000000000001,176.268,227466,4
0.937,0.602,6,-8.04,1,0.0152,0.0,0.0914,0.598,105.971,160481,4
0.365,0.211,7,-12.041,0,0.945,1.07e-05,0.0929,0.0928,91.932,106966,3
0.598,0.332,6,-7.897,1,0.696,0.0,0.0783,0.595,112.68,194448,4
0.325,0.0824,11,-24.714,1,0.995,0.944,0.0877,0.3939999999999999,177.69,145000,4
0.185,0.0132,5,-32.25,1,0.901,0.908,0.0934,0.0337,69.433,136881,4
0.956,0.375,5,-7.456,0,0.687,0.0,0.0812,0.956,104.965,166857,4
0.599,0.828,7,-6.013,1,0.198,0.0,0.0781,0.8290000000000001,124.301,230613,4
0.787,0.6729999999999999,11,-4.577,0,0.256,3.57e-06,0.0904,0.7859999999999999,110.962,237893,4
0.484,0.0465,0,-24.961,0,0.992,0.964,0.103,0.159,114.985,163031,3
0.536,0.266,0,-16.278,1,0.9,0.86,0.0999,0.245,96.039,208507,4
0.405,0.569,4,-7.401,1,0.436,0.0,0.0842,0.392,80.119,162800,4
0.486,0.5670000000000001,1,-6.456,1,0.31,0.0,0.0949,0.154,93.68,211254,4
0.64,0.392,2,-7.246,0,0.0593,0.0,0.0839,0.502,145.838,178994,4
0.644,0.292,9,-18.486,0,0.948,0.8690000000000001,0.0994,0.494,127.216,234069,4
0.324,0.349,4,-14.787,1,0.8690000000000001,0.1939999999999999,0.0847,0.471,92.962,148773,4
0.7140000000000001,0.495,9,-7.226,1,0.3279999999999999,0.0,0.104,0.238,114.979,372600,4
0.574,0.909,9,-4.36,1,0.0291,3.1e-06,0.0603,0.55,140.02,197306,4
0.422,0.142,7,-20.77,1,0.913,0.88,0.0731,0.213,129.819,222875,4
0.389,0.192,4,-23.526,0,0.8079999999999999,0.8220000000000001,0.0715,0.0338,143.187,252547,4
0.561,0.408,0,-11.253,1,0.758,1.14e-05,0.0986,0.244,121.919,192733,4
0.6,0.6759999999999999,5,-6.447,0,0.154,0.0,0.0741,0.217,88.928,221560,4
0.7070000000000001,0.161,4,-16.444000000000003,1,0.895,0.915,0.0853,0.964,159.914,92204,3
0.8140000000000001,0.923,7,-4.525,1,0.0154,0.154,0.0862,0.518,127.919,150533,4
0.346,0.0192,3,-33.791,1,0.994,0.894,0.104,0.442,88.759,142700,4
0.247,0.144,2,-20.937,0,0.965,0.126,0.103,0.0191,80.863,264787,3
0.35,0.828,6,-5.372999999999999,1,0.000217,0.000161,0.0774,0.147,105.435,318587,4
0.637,0.28,6,-18.191,1,0.901,0.0343,0.102,0.677,97.946,211456,4
0.569,0.0238,6,-23.88,0,0.992,0.941,0.0864,0.2239999999999999,71.186,118000,4
0.674,0.8809999999999999,9,-2.853,1,0.296,3.01e-06,0.0793,0.2339999999999999,98.994,178480,4
0.68,0.479,0,-6.579,1,0.871,0.0,0.0997,0.901,161.994,247040,5
0.575,0.5710000000000001,1,-7.906000000000001,1,0.0558,0.0,0.0912,0.449,105.049,197947,4
0.593,0.84,10,-4.618,0,0.000105,1.2e-06,0.0725,0.8909999999999999,141.961,223844,4
0.526,0.516,7,-11.034,1,0.544,0.0283,0.0921,0.506,109.882,200800,4
0.639,0.647,7,-5.237,1,0.0756,0.0,0.0562,0.563,159.99,73584,4
0.6409999999999999,0.0249,5,-19.888,1,0.993,0.962,0.0968,0.3389999999999999,135.224,157169,3
0.845,0.564,0,-9.081,0,0.52,0.863,0.0938,0.305,130.016,211789,4
0.773,0.561,9,-10.224,1,0.204,0.0,0.0575,0.7170000000000001,112.582,204160,4
0.3379999999999999,0.0766,7,-20.798,1,0.937,0.8759999999999999,0.0877,0.0441,49.983,242400,4
0.188,0.0366,0,-27.966,1,0.985,0.966,0.103,0.0357,60.105,246693,4
0.511,0.745,9,-7.825,1,0.106,0.0,0.0977,0.289,84.977,192000,4
0.6970000000000001,0.846,9,-5.471,1,0.0059,0.0256,0.0967,0.973,126.467,219413,4
0.774,0.738,0,-6.99,1,0.127,1.35e-05,0.0696,0.7909999999999999,114.574,285840,4
0.726,0.0942,2,-19.943,0,0.711,0.713,0.0564,0.265,89.084,172584,4
0.626,0.8,1,-3.988,0,0.0267,0.000133,0.0623,0.26,127.965,160184,4
0.7070000000000001,0.501,4,-7.388999999999999,1,0.387,1.81e-06,0.095,0.542,93.978,199644,4
0.736,0.0967,11,-21.354,1,0.995,0.925,0.0798,0.225,122.999,219022,4
0.605,0.4039999999999999,4,-12.366,1,0.588,0.00143,0.104,0.867,94.285,153413,4
0.18,0.0238,3,-31.705,1,0.98,0.93,0.0999,0.184,128.84799999999998,127080,3
0.173,0.0768,5,-25.439,1,0.911,0.951,0.0926,0.0664,91.807,138500,4
0.594,0.0779,8,-16.71,1,0.877,0.944,0.0776,0.921,116.714,131882,4
0.361,0.237,5,-20.284,1,0.833,0.945,0.0868,0.12,139.213,338000,4
0.375,0.114,6,-24.786,0,0.995,0.964,0.098,0.379,89.40299999999999,148000,4
0.569,0.271,10,-10.969,1,0.8859999999999999,0.0,0.103,0.352,91.888,190652,4
0.38,0.115,5,-22.897,1,0.992,0.9,0.0844,0.21,129.47299999999998,135360,4
0.532,0.00248,2,-28.933000000000003,1,0.993,0.962,0.0998,0.153,50.848,116565,4
0.204,0.0799,0,-22.987,0,0.968,0.922,0.0864,0.124,74.45,216020,1
0.569,0.83,9,-3.236,0,0.000542,0.877,0.0687,0.1369999999999999,132.017,240470,4
0.8590000000000001,0.476,0,-6.839,1,0.177,0.0,0.0889,0.521,107.0,211498,4
0.7440000000000001,0.7829999999999999,1,-7.077000000000001,1,0.0553,0.0,0.086,0.885,120.042,235493,4
0.763,0.457,0,-11.201,1,0.745,0.000128,0.0997,0.7979999999999999,140.017,182485,4
0.6779999999999999,0.7509999999999999,0,-5.625,0,0.0204,0.0,0.103,0.423,171.84,182791,4
0.7340000000000001,0.809,10,-5.506,0,0.1,3.46e-05,0.1009999999999999,0.447,123.994,195595,4
0.225,0.0131,5,-29.096,0,0.976,0.958,0.0864,0.0762,64.27,208889,4
0.507,0.0504,7,-23.183000000000003,0,0.993,0.746,0.0994,0.0784,140.656,223810,4
0.564,0.774,1,-9.424,1,0.0135,0.00191,0.0861,0.657,100.894,277477,4
0.31,0.0466,4,-29.264,1,0.995,0.953,0.0819,0.428,134.13299999999998,145000,4
0.7340000000000001,0.951,11,-6.075,0,0.7340000000000001,0.0178,0.0933,0.7609999999999999,79.997,262177,4
0.596,0.8690000000000001,10,-11.97,1,0.0116,0.173,0.0678,0.944,109.902,238733,4
0.586,0.532,11,-7.677,1,0.0556,0.000675,0.0799,0.541,159.471,259493,4
0.4029999999999999,0.659,2,-7.337999999999999,1,0.123,0.0,0.0857,0.435,90.854,205773,4
0.6559999999999999,0.0133,9,-31.289,1,0.996,0.973,0.0916,0.855,61.514,130500,3
0.532,0.335,0,-13.643,1,0.7829999999999999,0.961,0.0945,0.2,80.11,183547,4
0.637,0.209,8,-17.192,0,0.929,0.0,0.0865,0.446,119.929,188800,4
0.722,0.3289999999999999,0,-11.617,0,0.088,0.0,0.081,0.166,99.991,230713,4
0.691,0.8340000000000001,10,-5.8020000000000005,0,0.0161,0.0,0.0559,0.579,172.387,317507,4
0.2189999999999999,0.386,2,-9.066,1,0.643,0.0,0.1009999999999999,0.4039999999999999,161.661,195000,4
0.282,0.0129,2,-31.82,1,0.91,0.8909999999999999,0.102,0.0721,78.384,102571,5
0.746,0.5760000000000001,11,-4.796,0,0.0204,0.0811,0.0959,0.0769,123.036,173951,4
0.569,0.589,0,-5.811,1,0.186,0.0,0.104,0.367,118.177,215593,4
0.6890000000000001,0.5329999999999999,6,-14.205,1,0.321,7.37e-05,0.0958,0.898,98.801,170880,4
0.6940000000000001,0.769,6,-4.665,1,0.163,0.0,0.0976,0.6629999999999999,93.033,203880,4
0.4589999999999999,0.297,2,-12.398,1,0.8009999999999999,0.00045,0.096,0.1,125.798,246021,3
0.498,0.916,8,-3.728,1,0.052,1.31e-06,0.0734,0.352,115.045,229253,4
0.181,0.0287,8,-33.787,0,0.995,0.935,0.0969,0.111,107.222,160500,4
0.6609999999999999,0.446,7,-10.972,1,0.884,0.513,0.073,0.3989999999999999,116.0,278520,4
0.405,0.1009999999999999,9,-21.481,0,0.974,0.924,0.0929,0.0467,130.11700000000002,325280,3
0.472,0.0491,2,-26.458,1,0.948,0.8170000000000001,0.0961,0.0527,117.721,224278,4
0.501,0.261,4,-11.716,1,0.833,0.555,0.0978,0.477,149.97799999999998,164500,3
0.742,0.83,11,-4.336,1,0.35,0.0,0.0701,0.7609999999999999,96.967,199432,4
0.7979999999999999,0.675,6,-5.041,1,0.0912,0.0,0.0894,0.8420000000000001,101.956,219947,4
0.397,0.217,7,-16.94,0,0.905,0.23,0.083,0.1689999999999999,61.49,343750,4
0.7809999999999999,0.67,3,-3.912,0,0.0103,0.0,0.0761,0.595,127.99,169333,4
0.186,0.186,10,-19.916,0,0.99,0.913,0.0616,0.0341,139.454,346000,5
0.705,0.644,2,-9.276,1,0.545,0.0434,0.0997,0.235,111.057,200200,4
0.784,0.204,0,-11.383,1,0.902,0.828,0.0941,0.469,75.988,138947,4
0.642,0.57,7,-12.557,1,0.322,0.00856,0.0626,0.611,81.99700000000001,193747,4
0.418,0.3829999999999999,4,-11.782,1,0.0718,0.0177,0.0896,0.352,87.773,257480,4
0.685,0.52,7,-5.8870000000000005,1,0.00347,0.0,0.0854,0.253,158.026,164284,4
0.537,0.0245,10,-26.163,1,0.872,0.00824,0.0825,0.236,133.94,338924,4
0.73,0.682,7,-7.21,1,0.102,1.65e-05,0.1009999999999999,0.67,174.07,242174,4
0.614,0.615,0,-6.7,0,0.054,0.0,0.0921,0.374,95.941,220291,4
0.321,0.168,4,-22.814,0,0.966,0.0229,0.0805,0.0783,126.645,245086,4
0.7440000000000001,0.851,7,-4.538,1,0.611,2.61e-05,0.0845,0.911,157.332,250384,4
0.178,0.0791,3,-27.489,1,0.971,0.918,0.0974,0.0814,71.97399999999999,175881,3
0.63,0.696,10,-4.501,1,0.144,0.0,0.0835,0.491,94.034,261427,4
0.596,0.418,7,-10.417,1,0.00935,3.15e-06,0.0853,0.324,122.02,273608,4
0.7,0.872,10,-5.896,1,0.121,7.08e-06,0.103,0.7609999999999999,125.03,190302,4
0.7340000000000001,0.594,2,-7.006,1,0.622,0.0,0.094,0.573,104.043,280667,4
0.83,0.858,6,-3.18,0,0.134,1.7199999999999998e-05,0.0567,0.949,119.974,296500,4
